time,time_fmt,open,high,low,close,vwap,volume,count
1587769560,2020-04-24 23:06:00+00:00,172.84,172.91,172.84,172.91,172.9,9.13439602,7
1587769620,2020-04-24 23:07:00+00:00,172.91,173.04,172.91,173.04,172.91,1.48953355,3
1587769680,2020-04-24 23:08:00+00:00,173.0,173.04,173.0,173.03,173.02,1.84977745,4
1587769740,2020-04-24 23:09:00+00:00,173.03,173.26,173.03,173.26,173.14,4.24724696,8
1587769800,2020-04-24 23:10:00+00:00,173.26,173.58,173.26,173.52,173.57,30.40740046,3
1587769860,2020-04-24 23:11:00+00:00,173.56,173.7,173.56,173.69,173.68,8.28641884,5
1587769920,2020-04-24 23:12:00+00:00,173.69,173.7,173.57,173.57,173.63,14.90005829,10
1587769980,2020-04-24 23:13:00+00:00,173.41,173.66,173.41,173.66,173.51,34.39676293,10
1587770040,2020-04-24 23:14:00+00:00,173.66,173.68,173.63,173.63,173.63,0.61294191,4
1587770100,2020-04-24 23:15:00+00:00,173.6,173.69,173.6,173.69,173.6,10.33180489,10
1587770160,2020-04-24 23:16:00+00:00,173.69,173.69,173.5,173.5,173.58,5.0058422,3
1587770220,2020-04-24 23:17:00+00:00,173.5,173.53,173.5,173.53,173.53,0.02777777,1
1587770280,2020-04-24 23:18:00+00:00,173.53,173.79,173.53,173.65,173.71,0.4925111,3
1587770340,2020-04-24 23:19:00+00:00,173.8,173.8,173.66,173.66,173.66,5.00576788,3
1587770400,2020-04-24 23:20:00+00:00,173.5,173.5,173.29,173.29,173.43,11.25041997,6
1587770460,2020-04-24 23:21:00+00:00,173.33,173.33,173.33,173.33,173.33,0.36837209,1
1587770520,2020-04-24 23:22:00+00:00,173.37,173.37,173.37,173.37,173.37,0.17,1
1587770580,2020-04-24 23:23:00+00:00,173.44,173.44,173.4,173.4,173.4,0.3249844,2
1587770640,2020-04-24 23:24:00+00:00,173.4,173.4,173.34,173.34,173.34,0.00323636,1
1587770700,2020-04-24 23:25:00+00:00,173.34,173.37,173.31,173.31,173.35,1.52611052,4
1587770760,2020-04-24 23:26:00+00:00,173.31,173.31,173.29,173.29,173.29,0.37189189,1
1587770820,2020-04-24 23:27:00+00:00,173.27,173.27,173.27,173.27,173.27,0.0032,1
1587770880,2020-04-24 23:28:00+00:00,173.27,173.27,173.27,173.27,173.27,0.92148196,3
1587770940,2020-04-24 23:29:00+00:00,173.27,173.27,173.01,173.01,173.15,2.17099902,6
1587771000,2020-04-24 23:30:00+00:00,173.01,173.01,173.01,173.01,173.01,1.02207885,2
1587771060,2020-04-24 23:31:00+00:00,173.01,173.07,173.01,173.04,173.06,0.60418266,3
1587771120,2020-04-24 23:32:00+00:00,173.04,173.11,173.04,173.11,173.11,0.54712269,2
1587771180,2020-04-24 23:33:00+00:00,173.11,173.11,173.11,173.11,173.11,13.41481346,7
1587771240,2020-04-24 23:34:00+00:00,173.11,173.26,173.11,173.26,173.26,0.00720792,1
1587771300,2020-04-24 23:35:00+00:00,173.26,173.37,173.26,173.37,173.26,2.36938814,3
1587771360,2020-04-24 23:36:00+00:00,173.37,173.39,173.37,173.39,173.39,0.25373134,1
1587771420,2020-04-24 23:37:00+00:00,173.51,173.51,173.38,173.38,173.48,0.55505245,3
1587771480,2020-04-24 23:38:00+00:00,173.42,173.58,173.33,173.51,173.46,5.19026966,4
1587771540,2020-04-24 23:39:00+00:00,173.51,173.51,173.51,173.51,0.0,0.0,0
1587771600,2020-04-24 23:40:00+00:00,173.51,173.52,173.51,173.52,173.52,0.60543518,2
1587771660,2020-04-24 23:41:00+00:00,173.52,173.52,173.52,173.52,173.52,0.32422907,1
1587771720,2020-04-24 23:42:00+00:00,173.52,173.59,173.52,173.59,173.57,0.03428409,3
1587771780,2020-04-24 23:43:00+00:00,173.59,173.67,173.59,173.67,173.67,0.56393442,1
1587771840,2020-04-24 23:44:00+00:00,173.66,173.78,173.66,173.78,173.75,29.60361579,11
1587771900,2020-04-24 23:45:00+00:00,173.77,173.77,173.76,173.76,173.76,9.94988187,2
1587771960,2020-04-24 23:46:00+00:00,173.6,173.6,173.54,173.54,173.54,7.71431421,3
1587772020,2020-04-24 23:47:00+00:00,173.53,173.63,173.46,173.63,173.46,2.53715645,4
1587772080,2020-04-24 23:48:00+00:00,173.63,173.63,173.63,173.63,173.63,0.30117647,1
1587772140,2020-04-24 23:49:00+00:00,173.63,173.67,173.63,173.67,173.67,0.00295522,1
1587772200,2020-04-24 23:50:00+00:00,173.67,173.67,173.57,173.57,173.57,0.02572549,1
1587772260,2020-04-24 23:51:00+00:00,173.59,173.59,173.58,173.59,173.58,14.5,3
1587772320,2020-04-24 23:52:00+00:00,173.39,173.39,173.39,173.39,173.39,0.00380582,1
1587772380,2020-04-24 23:53:00+00:00,173.39,173.5,173.36,173.48,173.49,5.54569182,4
1587772440,2020-04-24 23:54:00+00:00,173.48,173.48,173.45,173.48,173.47,0.60444507,3
1587772500,2020-04-24 23:55:00+00:00,173.56,173.57,173.56,173.56,173.56,7.48268798,3
1587772560,2020-04-24 23:56:00+00:00,173.56,173.56,173.31,173.37,173.32,29.13891127,7
1587772620,2020-04-24 23:57:00+00:00,173.37,173.37,173.37,173.37,0.0,0.0,0
1587772680,2020-04-24 23:58:00+00:00,173.37,173.39,173.33,173.39,173.38,0.60897238,4
1587772740,2020-04-24 23:59:00+00:00,173.39,173.66,173.39,173.66,173.58,83.01810545,12
1587772800,2020-04-25 00:00:00+00:00,173.72,173.72,173.44,173.44,173.71,0.89536967,2
1587772860,2020-04-25 00:01:00+00:00,173.31,173.37,173.18,173.24,173.3,54.35103085,12
1587772920,2020-04-25 00:02:00+00:00,173.24,173.24,173.09,173.22,173.09,0.05907206,2
1587772980,2020-04-25 00:03:00+00:00,173.22,173.22,173.2,173.2,173.2,100.0,1
1587773040,2020-04-25 00:04:00+00:00,173.2,173.2,173.03,173.05,173.04,14.12345637,5
1587773100,2020-04-25 00:05:00+00:00,173.0,173.0,172.7,172.9,172.75,215.21854696,20
1587773160,2020-04-25 00:06:00+00:00,172.9,173.0,172.9,173.0,172.97,1.99333333,3
1587773220,2020-04-25 00:07:00+00:00,173.0,173.13,173.0,173.13,173.11,0.02182063,3
1587773280,2020-04-25 00:08:00+00:00,173.04,173.04,172.88,172.89,172.95,29.19232857,11
1587773340,2020-04-25 00:09:00+00:00,172.89,172.89,172.89,172.89,0.0,0.0,0
1587773400,2020-04-25 00:10:00+00:00,172.95,172.97,172.95,172.97,172.96,0.10835146,4
1587773460,2020-04-25 00:11:00+00:00,172.97,172.97,172.96,172.96,172.96,6.43900286,2
1587773520,2020-04-25 00:12:00+00:00,172.96,172.96,172.51,172.51,172.59,47.75152296,10
1587773580,2020-04-25 00:13:00+00:00,172.51,172.59,172.43,172.59,172.46,10.11588983,11
1587773640,2020-04-25 00:14:00+00:00,172.59,172.78,172.59,172.78,172.76,10.39907306,2
1587773700,2020-04-25 00:15:00+00:00,172.59,172.59,172.55,172.55,172.58,2.62383452,3
1587773760,2020-04-25 00:16:00+00:00,172.41,172.41,172.11,172.22,172.3,46.38423282,15
1587773820,2020-04-25 00:17:00+00:00,172.22,172.77,172.22,172.64,172.65,0.02311,2
1587773880,2020-04-25 00:18:00+00:00,172.64,172.72,172.64,172.72,172.72,0.020028999999999998,1
1587773940,2020-04-25 00:19:00+00:00,172.72,172.72,172.72,172.72,0.0,0.0,0
1587774000,2020-04-25 00:20:00+00:00,172.68,172.72,172.68,172.72,172.7,9.97623661,4
1587774060,2020-04-25 00:21:00+00:00,172.72,172.72,172.72,172.72,0.0,0.0,0
1587774120,2020-04-25 00:22:00+00:00,172.72,172.72,172.72,172.72,172.72,36.01592319,2
1587774180,2020-04-25 00:23:00+00:00,172.72,172.72,172.72,172.72,172.72,3.25,1
1587774240,2020-04-25 00:24:00+00:00,172.72,172.72,172.71,172.71,172.71,19.24170456,12
1587774300,2020-04-25 00:25:00+00:00,172.71,172.71,172.65,172.65,172.7,1.02905429,3
1587774360,2020-04-25 00:26:00+00:00,172.65,172.65,172.65,172.65,0.0,0.0,0
1587774420,2020-04-25 00:27:00+00:00,172.65,172.65,172.56,172.56,172.56,5.800395,2
1587774480,2020-04-25 00:28:00+00:00,172.45,172.47,172.45,172.47,172.46,0.46253846,2
1587774540,2020-04-25 00:29:00+00:00,172.53,172.94,172.53,172.83,172.56,0.02634436,3
1587774600,2020-04-25 00:30:00+00:00,172.83,172.83,172.83,172.83,172.83,0.00253043,1
1587774660,2020-04-25 00:31:00+00:00,172.83,173.0,172.83,173.0,172.96,4.07295104,7
1587774720,2020-04-25 00:32:00+00:00,173.0,173.18,173.0,173.13,173.13,0.69123222,4
1587774780,2020-04-25 00:33:00+00:00,173.13,173.13,173.0,173.0,173.0,0.01953791,2
1587774840,2020-04-25 00:34:00+00:00,173.0,173.11,172.97,172.97,173.09,6.57368543,3
1587774900,2020-04-25 00:35:00+00:00,172.91,172.91,172.91,172.91,172.91,0.0021081,1
1587774960,2020-04-25 00:36:00+00:00,172.91,172.91,172.82,172.82,172.83,27.0582,9
1587775020,2020-04-25 00:37:00+00:00,172.85,172.85,172.7,172.77,172.81,0.38457808,3
1587775080,2020-04-25 00:38:00+00:00,172.77,172.89,172.77,172.87,172.81,0.87445105,3
1587775140,2020-04-25 00:39:00+00:00,172.92,173.02,172.92,173.02,173.0,0.86579606,2
1587775200,2020-04-25 00:40:00+00:00,173.02,173.04,172.85,172.85,172.92,3.20240991,3
1587775260,2020-04-25 00:41:00+00:00,172.85,172.85,172.85,172.85,172.85,0.05315259,1
1587775320,2020-04-25 00:42:00+00:00,172.85,172.85,172.45,172.53,172.52,0.26654581,5
1587775380,2020-04-25 00:43:00+00:00,172.58,172.64,172.58,172.64,172.63,2.25684932,2
1587775440,2020-04-25 00:44:00+00:00,172.64,172.64,172.27,172.27,172.27,0.5936576,3
1587775500,2020-04-25 00:45:00+00:00,172.27,172.4,172.27,172.4,172.4,0.24064339,2
1587775560,2020-04-25 00:46:00+00:00,172.4,172.4,172.4,172.4,0.0,0.0,0
1587775620,2020-04-25 00:47:00+00:00,172.34,172.34,172.25,172.25,172.31,0.10717907,4
1587775680,2020-04-25 00:48:00+00:00,172.24,172.5,172.11,172.5,172.34,26.42565819,13
1587775740,2020-04-25 00:49:00+00:00,172.5,172.75,172.5,172.75,172.75,1.7,1
1587775800,2020-04-25 00:50:00+00:00,172.75,172.75,172.74,172.74,172.74,0.53627,1
1587775860,2020-04-25 00:51:00+00:00,172.58,172.58,172.58,172.58,172.58,0.1,1
1587775920,2020-04-25 00:52:00+00:00,172.58,172.58,172.58,172.58,0.0,0.0,0
1587775980,2020-04-25 00:53:00+00:00,172.58,172.58,172.34,172.34,172.38,0.44819949,2
1587776040,2020-04-25 00:54:00+00:00,172.43,172.43,172.08,172.15,172.22,40.12799439,17
1587776100,2020-04-25 00:55:00+00:00,172.27,172.67,172.27,172.55,172.39,4.0416620000000005,6
1587776160,2020-04-25 00:56:00+00:00,172.55,172.55,172.55,172.55,0.0,0.0,0
1587776220,2020-04-25 00:57:00+00:00,172.55,172.75,172.55,172.75,172.75,11.81792806,4
1587776280,2020-04-25 00:58:00+00:00,172.75,172.75,172.75,172.75,0.0,0.0,0
1587776340,2020-04-25 00:59:00+00:00,172.75,172.75,172.63,172.63,172.63,5.0,1
1587776400,2020-04-25 01:00:00+00:00,172.63,172.63,172.36,172.37,172.38,14.079451999999998,4
1587776460,2020-04-25 01:01:00+00:00,172.37,172.48,172.21,172.21,172.34,34.26096871,8
1587776520,2020-04-25 01:02:00+00:00,172.42,172.42,172.42,172.42,172.42,0.078,1
1587776580,2020-04-25 01:03:00+00:00,172.42,172.42,172.42,172.42,0.0,0.0,0
1587776640,2020-04-25 01:04:00+00:00,172.42,172.42,172.42,172.42,0.0,0.0,0
1587776700,2020-04-25 01:05:00+00:00,172.42,172.42,172.42,172.42,0.0,0.0,0
1587776760,2020-04-25 01:06:00+00:00,172.79,172.79,172.68,172.68,172.78,0.69409351,2
1587776820,2020-04-25 01:07:00+00:00,172.68,172.68,172.68,172.68,0.0,0.0,0
1587776880,2020-04-25 01:08:00+00:00,172.68,172.68,172.68,172.68,0.0,0.0,0
1587776940,2020-04-25 01:09:00+00:00,172.77,172.77,172.77,172.77,172.77,1.46752705,1
1587777000,2020-04-25 01:10:00+00:00,172.85,172.85,172.84,172.84,172.84,6.04376585,2
1587777060,2020-04-25 01:11:00+00:00,172.84,173.06,172.84,173.06,173.05,0.00273911,2
1587777120,2020-04-25 01:12:00+00:00,173.06,173.06,173.06,173.06,0.0,0.0,0
1587777180,2020-04-25 01:13:00+00:00,173.1,173.11,173.1,173.11,173.1,0.67947212,3
1587777240,2020-04-25 01:14:00+00:00,173.0,173.0,173.0,173.0,173.0,4.16161,1
1587777300,2020-04-25 01:15:00+00:00,173.1,173.1,173.1,173.1,173.1,0.00262937,1
1587777360,2020-04-25 01:16:00+00:00,173.1,173.1,173.06,173.07,173.06,1.56433215,3
1587777420,2020-04-25 01:17:00+00:00,173.07,173.07,173.07,173.07,0.0,0.0,0
1587777480,2020-04-25 01:18:00+00:00,173.07,173.1,173.07,173.09,173.09,3.6529879999999997,3
1587777540,2020-04-25 01:19:00+00:00,173.09,173.24,173.09,173.24,173.17,31.91554927,8
1587777600,2020-04-25 01:20:00+00:00,173.17,173.18,173.11,173.12,173.13,8.61860565,7
1587777660,2020-04-25 01:21:00+00:00,173.12,173.12,173.09,173.1,173.09,54.48655128,13
1587777720,2020-04-25 01:22:00+00:00,173.17,173.17,173.17,173.17,173.17,2.46738448,2
1587777780,2020-04-25 01:23:00+00:00,173.17,173.17,173.0,173.0,173.0,10.00027326,2
1587777840,2020-04-25 01:24:00+00:00,173.0,173.0,173.0,173.0,0.0,0.0,0
1587777900,2020-04-25 01:25:00+00:00,173.26,173.26,173.26,173.26,173.26,1.34218303,1
1587777960,2020-04-25 01:26:00+00:00,173.06,173.07,173.06,173.07,173.06,5.12088057,2
1587778020,2020-04-25 01:27:00+00:00,173.07,173.3,173.07,173.3,173.3,1.33668395,1
1587778080,2020-04-25 01:28:00+00:00,173.28,173.28,173.13,173.13,173.16,0.00221952,2
1587778140,2020-04-25 01:29:00+00:00,173.13,173.13,173.0,173.0,173.0,1.33447208,2
1587778200,2020-04-25 01:30:00+00:00,173.0,173.0,173.0,173.0,0.0,0.0,0
1587778260,2020-04-25 01:31:00+00:00,173.18,173.18,173.17,173.17,173.17,2.32264716,2
1587778320,2020-04-25 01:32:00+00:00,173.17,173.26,173.17,173.26,173.26,0.020028999999999998,1
1587778380,2020-04-25 01:33:00+00:00,173.17,173.17,173.17,173.17,173.17,5.73706127,1
1587778440,2020-04-25 01:34:00+00:00,173.17,173.17,173.17,173.17,0.0,0.0,0
1587778500,2020-04-25 01:35:00+00:00,173.17,173.17,173.17,173.17,0.0,0.0,0
1587778560,2020-04-25 01:36:00+00:00,173.17,173.2,173.17,173.2,173.2,0.02001,1
1587778620,2020-04-25 01:37:00+00:00,173.2,173.2,173.2,173.2,0.0,0.0,0
1587778680,2020-04-25 01:38:00+00:00,173.14,173.14,173.14,173.14,173.14,2.01766052,1
1587778740,2020-04-25 01:39:00+00:00,173.14,173.14,173.14,173.14,0.0,0.0,0
1587778800,2020-04-25 01:40:00+00:00,173.14,173.14,173.14,173.14,0.0,0.0,0
1587778860,2020-04-25 01:41:00+00:00,173.14,173.14,173.14,173.14,0.0,0.0,0
1587778920,2020-04-25 01:42:00+00:00,173.01,173.01,172.85,172.88,172.85,0.646065,3
1587778980,2020-04-25 01:43:00+00:00,172.87,172.87,172.77,172.87,172.79,1.14873033,3
1587779040,2020-04-25 01:44:00+00:00,172.87,172.87,172.87,172.87,0.0,0.0,0
1587779100,2020-04-25 01:45:00+00:00,172.87,172.87,172.83,172.83,172.83,0.195,1
1587779160,2020-04-25 01:46:00+00:00,172.83,173.08,172.83,173.08,173.04,109.33523246,7
1587779220,2020-04-25 01:47:00+00:00,173.08,173.08,173.08,173.08,0.0,0.0,0
1587779280,2020-04-25 01:48:00+00:00,173.2,173.2,173.2,173.2,173.2,1.88455618,2
1587779340,2020-04-25 01:49:00+00:00,173.2,173.2,173.06,173.06,173.06,0.02001,1
1587779400,2020-04-25 01:50:00+00:00,173.06,173.06,172.95,172.95,172.95,0.020028999999999998,1
1587779460,2020-04-25 01:51:00+00:00,172.95,172.95,172.94,172.94,172.94,0.052000000000000005,1
1587779520,2020-04-25 01:52:00+00:00,172.94,172.94,172.94,172.94,0.0,0.0,0
1587779580,2020-04-25 01:53:00+00:00,172.94,172.94,172.94,172.94,0.0,0.0,0
1587779640,2020-04-25 01:54:00+00:00,173.05,173.05,173.03,173.03,173.03,5.5,3
1587779700,2020-04-25 01:55:00+00:00,173.03,173.03,173.03,173.03,0.0,0.0,0
1587779760,2020-04-25 01:56:00+00:00,173.03,173.04,172.99,172.99,172.99,1.42830386,2
1587779820,2020-04-25 01:57:00+00:00,173.02,173.02,173.02,173.02,173.02,0.501729,2
1587779880,2020-04-25 01:58:00+00:00,173.02,173.21,173.02,173.21,173.2,7.52940703,5
1587779940,2020-04-25 01:59:00+00:00,173.14,173.23,172.92,172.92,173.15,4.19,6
1587780000,2020-04-25 02:00:00+00:00,172.92,172.92,172.92,172.92,0.0,0.0,0
1587780060,2020-04-25 02:01:00+00:00,172.81,172.81,172.8,172.81,172.8,2.70283376,3
1587780120,2020-04-25 02:02:00+00:00,172.81,172.87,172.8,172.8,172.82,0.04903961,2
1587780180,2020-04-25 02:03:00+00:00,172.82,172.82,172.82,172.82,172.82,0.74402011,1
