time,time_fmt,open,high,low,close,vwap,volume,count
1587165300,2020-04-17 23:15:00+00:00,233.9,236.9,233.9,236.4,235.6,140.05375277,86
1587166200,2020-04-17 23:30:00+00:00,236.5,236.9,231.5,233.1,234.5,234.69655568,55
1587167100,2020-04-17 23:45:00+00:00,233.4,233.4,231.8,232.9,232.7,38.55234497,11
1587168000,2020-04-18 00:00:00+00:00,233.3,234.0,233.0,234.0,233.8,314.93592,61
1587168900,2020-04-18 00:15:00+00:00,234.0,234.0,232.9,232.9,233.4,27.564,7
1587169800,2020-04-18 00:30:00+00:00,232.9,233.6,232.9,233.6,233.5,25.02175425,17
1587170700,2020-04-18 00:45:00+00:00,233.6,233.9,233.3,233.7,233.4,108.56212761,20
1587171600,2020-04-18 01:00:00+00:00,234.1,234.3,234.0,234.1,234.1,10.53097741,17
1587172500,2020-04-18 01:15:00+00:00,234.1,235.1,234.1,234.4,234.9,52.60691443,33
1587173400,2020-04-18 01:30:00+00:00,234.4,234.7,234.4,234.7,234.6,12.18447404,5
1587174300,2020-04-18 01:45:00+00:00,235.0,235.1,234.3,234.7,234.9,9.57657791,10
1587175200,2020-04-18 02:00:00+00:00,234.7,236.0,234.7,235.2,235.5,101.50133327,23
1587176100,2020-04-18 02:15:00+00:00,235.0,235.0,235.0,235.0,235.0,3.621,4
1587177000,2020-04-18 02:30:00+00:00,235.0,235.8,235.0,235.8,235.7,12.57297719,9
1587177900,2020-04-18 02:45:00+00:00,235.8,235.8,234.2,234.6,235.2,54.33707621,18
1587178800,2020-04-18 03:00:00+00:00,234.6,235.1,234.6,235.1,234.8,6.050168900000001,5
1587179700,2020-04-18 03:15:00+00:00,235.1,235.2,235.1,235.1,235.1,22.122,6
1587180600,2020-04-18 03:30:00+00:00,235.1,235.1,234.7,234.7,234.8,18.04264103,12
1587181500,2020-04-18 03:45:00+00:00,234.4,234.4,234.1,234.2,234.3,5.73639767,8
1587182400,2020-04-18 04:00:00+00:00,234.4,234.8,234.4,234.8,234.6,9.72178496,8
1587183300,2020-04-18 04:15:00+00:00,234.8,235.2,234.6,234.6,235.1,28.6613411,12
1587184200,2020-04-18 04:30:00+00:00,234.6,235.3,234.6,235.0,234.9,7.12503721,10
1587185100,2020-04-18 04:45:00+00:00,235.0,235.0,234.9,234.9,234.9,5.94253985,8
1587186000,2020-04-18 05:00:00+00:00,234.9,234.9,234.9,234.9,234.9,0.25287356,1
1587186900,2020-04-18 05:15:00+00:00,234.9,235.5,234.9,235.5,235.0,8.5872,5
1587187800,2020-04-18 05:30:00+00:00,235.6,235.8,235.3,235.3,235.6,132.429,22
1587188700,2020-04-18 05:45:00+00:00,235.3,235.3,234.9,234.9,234.9,2.82483229,1
1587189600,2020-04-18 06:00:00+00:00,234.9,234.9,234.9,234.9,234.9,10.2369973,4
1587190500,2020-04-18 06:15:00+00:00,234.9,235.0,234.9,235.0,235.0,2.05,2
1587191400,2020-04-18 06:30:00+00:00,235.0,235.0,234.8,234.8,234.8,0.6863109000000001,1
1587192300,2020-04-18 06:45:00+00:00,234.8,234.8,234.8,234.8,0.0,0.0,0
1587193200,2020-04-18 07:00:00+00:00,234.8,234.8,234.1,234.2,234.2,19.89967616,9
1587194100,2020-04-18 07:15:00+00:00,234.2,234.2,234.2,234.2,0.0,0.0,0
1587195000,2020-04-18 07:30:00+00:00,234.2,234.2,234.2,234.2,234.2,36.29719129,5
1587195900,2020-04-18 07:45:00+00:00,234.2,234.7,234.2,234.7,234.7,0.21636803,1
1587196800,2020-04-18 08:00:00+00:00,234.6,235.1,234.6,235.1,234.8,26.48707235,6
1587197700,2020-04-18 08:15:00+00:00,235.1,235.1,235.1,235.1,235.1,6.40439775,3
1587198600,2020-04-18 08:30:00+00:00,235.1,235.1,234.8,234.9,234.8,30.0,6
1587199500,2020-04-18 08:45:00+00:00,234.9,234.9,234.5,234.5,234.5,11.115,2
1587200400,2020-04-18 09:00:00+00:00,234.5,234.7,234.5,234.7,234.7,0.32455205,3
1587201300,2020-04-18 09:15:00+00:00,234.9,235.2,234.9,235.1,235.1,34.82002,10
1587202200,2020-04-18 09:30:00+00:00,234.9,235.1,234.9,234.9,235.0,3.43382811,5
1587203100,2020-04-18 09:45:00+00:00,234.9,234.9,234.6,234.6,234.6,3.95480389,7
1587204000,2020-04-18 10:00:00+00:00,234.6,234.6,234.2,234.2,234.4,9.2084117,3
1587204900,2020-04-18 10:15:00+00:00,234.0,234.2,232.6,232.6,234.0,42.34984813,14
1587205800,2020-04-18 10:30:00+00:00,232.7,233.1,232.7,233.1,232.7,80.63843299,5
1587206700,2020-04-18 10:45:00+00:00,233.1,233.5,233.1,233.5,233.4,7.90185089,6
1587207600,2020-04-18 11:00:00+00:00,233.5,233.5,233.5,233.5,0.0,0.0,0
1587208500,2020-04-18 11:15:00+00:00,233.5,233.5,232.6,232.6,232.6,69.329,8
1587209400,2020-04-18 11:30:00+00:00,232.6,232.6,232.6,232.6,0.0,0.0,0
1587210300,2020-04-18 11:45:00+00:00,233.2,235.1,233.2,235.1,233.8,106.10482314,22
1587211200,2020-04-18 12:00:00+00:00,234.4,234.6,234.4,234.6,234.5,27.32343759,11
1587212100,2020-04-18 12:15:00+00:00,234.4,234.9,234.4,234.8,234.5,31.55807857,7
1587213000,2020-04-18 12:30:00+00:00,234.8,234.8,234.6,234.6,234.6,3.25043555,6
1587213900,2020-04-18 12:45:00+00:00,234.6,238.6,234.6,237.1,236.3,132.37141843,59
1587214800,2020-04-18 13:00:00+00:00,238.4,240.1,237.4,239.2,239.1,64.77778606,75
1587215700,2020-04-18 13:15:00+00:00,239.5,239.5,237.2,238.3,238.2,141.32923689999996,67
1587216600,2020-04-18 13:30:00+00:00,238.4,239.1,238.4,238.9,238.7,66.86587211,41
1587217500,2020-04-18 13:45:00+00:00,239.2,241.5,239.2,240.2,240.3,222.39010803,102
1587218400,2020-04-18 14:00:00+00:00,240.4,241.4,239.5,239.9,240.3,294.41060777,90
1587219300,2020-04-18 14:15:00+00:00,239.9,239.9,239.4,239.6,239.6,102.9124,16
1587220200,2020-04-18 14:30:00+00:00,240.0,240.2,239.8,240.0,239.9,56.48015435,15
1587221100,2020-04-18 14:45:00+00:00,240.3,240.3,239.6,239.8,239.8,53.63881756,14
1587222000,2020-04-18 15:00:00+00:00,239.8,240.4,239.4,239.4,240.3,1.146815,10
1587222900,2020-04-18 15:15:00+00:00,239.4,240.0,239.4,239.7,239.5,82.0172,8
1587223800,2020-04-18 15:30:00+00:00,239.7,239.7,239.5,239.5,239.6,0.68984173,3
1587224700,2020-04-18 15:45:00+00:00,239.7,240.7,239.7,240.7,240.1,71.49409926,16
1587225600,2020-04-18 16:00:00+00:00,241.3,241.8,239.8,239.8,240.8,441.62607375,115
1587226500,2020-04-18 16:15:00+00:00,239.7,239.7,238.9,239.0,239.1,100.33658822,29
1587227400,2020-04-18 16:30:00+00:00,239.3,239.3,238.0,238.4,238.7,29.62636516,21
1587228300,2020-04-18 16:45:00+00:00,238.7,239.3,238.7,239.3,238.8,33.96282899,14
1587229200,2020-04-18 17:00:00+00:00,239.3,239.3,238.7,238.8,238.8,6.00212245,8
1587230100,2020-04-18 17:15:00+00:00,238.9,239.9,238.9,239.9,239.3,48.6744205,16
1587231000,2020-04-18 17:30:00+00:00,239.6,240.0,239.6,240.0,239.8,26.56272231,18
1587231900,2020-04-18 17:45:00+00:00,240.0,240.0,239.4,239.4,239.6,17.81576817,11
1587232800,2020-04-18 18:00:00+00:00,239.4,239.5,238.9,238.9,238.9,6.1587279000000015,3
1587233700,2020-04-18 18:15:00+00:00,238.9,239.2,238.8,239.2,238.8,37.80273606,13
1587234600,2020-04-18 18:30:00+00:00,239.2,239.5,239.2,239.5,239.4,7.37785103,6
1587235500,2020-04-18 18:45:00+00:00,239.7,239.8,239.6,239.6,239.7,28.73070777,13
1587236400,2020-04-18 19:00:00+00:00,239.6,240.1,239.4,239.8,239.5,153.107008,34
1587237300,2020-04-18 19:15:00+00:00,240.1,240.3,239.9,240.0,240.0,426.96328545,98
1587238200,2020-04-18 19:30:00+00:00,240.0,240.8,240.0,240.7,240.6,5.25013553,5
1587239100,2020-04-18 19:45:00+00:00,240.7,241.8,240.7,241.8,241.5,143.29455243,32
1587240000,2020-04-18 20:00:00+00:00,241.5,243.9,241.0,243.0,242.1,253.76964859,68
1587240900,2020-04-18 20:15:00+00:00,243.7,246.0,243.7,245.9,244.9,472.27074102,126
1587241800,2020-04-18 20:30:00+00:00,245.7,245.8,243.5,243.5,245.5,131.66566045,24
1587242700,2020-04-18 20:45:00+00:00,243.3,243.3,243.3,243.3,243.3,3.59999999,2
1587243600,2020-04-18 21:00:00+00:00,243.3,245.7,243.3,245.6,245.5,49.94005661,17
1587244500,2020-04-18 21:15:00+00:00,245.6,245.6,245.0,245.1,245.1,85.53024826,34
1587245400,2020-04-18 21:30:00+00:00,245.6,245.6,244.9,245.3,245.2,105.18012532,63
1587246300,2020-04-18 21:45:00+00:00,245.1,245.5,245.1,245.4,245.1,24.61137335,12
1587247200,2020-04-18 22:00:00+00:00,245.3,246.5,245.1,245.9,245.8,123.60056873,69
1587248100,2020-04-18 22:15:00+00:00,245.9,245.9,244.5,244.8,244.7,56.91125034,73
1587249000,2020-04-18 22:30:00+00:00,244.8,247.0,244.6,247.0,246.2,100.10275434,126
1587249900,2020-04-18 22:45:00+00:00,247.0,248.0,246.3,246.5,247.4,89.86358419,79
1587250800,2020-04-18 23:00:00+00:00,246.5,246.5,244.6,245.2,245.4,411.09589188,74
1587251700,2020-04-18 23:15:00+00:00,245.8,246.3,245.5,246.1,245.9,13.18317075,32
1587252600,2020-04-18 23:30:00+00:00,245.9,245.9,242.9,243.6,244.6,248.93946136,95
1587253500,2020-04-18 23:45:00+00:00,243.9,244.2,243.5,244.2,243.9,72.36663967,45
1587254400,2020-04-19 00:00:00+00:00,244.2,244.6,243.0,243.6,243.8,70.5636724,49
1587255300,2020-04-19 00:15:00+00:00,243.6,243.6,240.2,241.4,241.6,207.97371074,100
1587256200,2020-04-19 00:30:00+00:00,241.2,242.2,241.2,242.0,242.0,74.22419768,27
1587257100,2020-04-19 00:45:00+00:00,242.7,243.5,242.6,243.5,242.7,17.70740899,16
1587258000,2020-04-19 01:00:00+00:00,243.2,244.5,242.5,243.9,243.8,535.2146113,80
1587258900,2020-04-19 01:15:00+00:00,243.8,243.8,242.8,242.8,243.5,174.48006504,52
1587259800,2020-04-19 01:30:00+00:00,241.9,242.8,241.6,242.8,242.0,61.53671449,37
1587260700,2020-04-19 01:45:00+00:00,242.8,243.7,242.8,243.7,243.6,12.0,6
1587261600,2020-04-19 02:00:00+00:00,243.7,243.7,243.1,243.5,243.5,134.10484158,39
1587262500,2020-04-19 02:15:00+00:00,243.4,244.9,243.4,244.9,243.7,87.58544119,33
1587263400,2020-04-19 02:30:00+00:00,244.9,245.3,244.4,245.3,244.8,108.81233221,32
1587264300,2020-04-19 02:45:00+00:00,245.3,245.4,244.2,244.6,244.8,51.82725843,27
1587265200,2020-04-19 03:00:00+00:00,244.8,244.8,244.0,244.2,244.3,31.338,10
1587266100,2020-04-19 03:15:00+00:00,244.2,244.2,243.3,243.4,243.8,73.94746299,29
1587267000,2020-04-19 03:30:00+00:00,243.4,244.5,243.4,244.3,244.2,39.63726982,14
1587267900,2020-04-19 03:45:00+00:00,244.3,244.5,244.3,244.5,244.3,0.10241765,4
1587268800,2020-04-19 04:00:00+00:00,244.5,245.0,244.4,244.8,244.8,11.71828632,14
1587269700,2020-04-19 04:15:00+00:00,245.1,245.1,244.9,245.1,244.9,1.01628902,7
1587270600,2020-04-19 04:30:00+00:00,245.1,245.2,244.4,244.4,244.6,123.953,25
1587271500,2020-04-19 04:45:00+00:00,244.6,244.6,243.5,243.7,243.7,36.21610805,14
1587272400,2020-04-19 05:00:00+00:00,243.7,243.8,242.5,242.5,243.7,53.05026955,34
1587273300,2020-04-19 05:15:00+00:00,242.2,243.0,242.2,243.0,242.9,28.55012674,18
1587274200,2020-04-19 05:30:00+00:00,243.0,243.0,243.0,243.0,243.0,9.597,5
1587275100,2020-04-19 05:45:00+00:00,242.0,242.3,238.0,238.3,239.5,180.31229278,97
1587276000,2020-04-19 06:00:00+00:00,237.6,239.7,237.6,239.2,238.8,50.5140922,12
1587276900,2020-04-19 06:15:00+00:00,239.2,240.1,238.8,240.0,239.6,50.058201200000006,18
1587277800,2020-04-19 06:30:00+00:00,240.0,240.0,239.6,239.8,239.9,71.3653641,11
1587278700,2020-04-19 06:45:00+00:00,239.1,239.1,238.8,238.8,238.9,51.16346579,8
1587279600,2020-04-19 07:00:00+00:00,239.2,239.2,238.8,238.9,238.9,37.59269843,21
1587280500,2020-04-19 07:15:00+00:00,239.4,240.1,239.4,239.9,239.8,175.09313053,18
1587281400,2020-04-19 07:30:00+00:00,239.7,239.7,238.9,239.1,239.4,23.02331074,7
1587282300,2020-04-19 07:45:00+00:00,239.1,239.1,238.9,238.9,238.9,0.0001689,1
1587283200,2020-04-19 08:00:00+00:00,238.8,238.8,238.0,238.0,238.3,47.11011114,13
1587284100,2020-04-19 08:15:00+00:00,238.0,238.5,237.9,238.5,238.0,11.202403599999998,6
1587285000,2020-04-19 08:30:00+00:00,238.5,239.2,238.5,239.2,239.1,48.97003196,11
1587285900,2020-04-19 08:45:00+00:00,239.2,239.3,239.2,239.2,239.2,13.19769394,4
1587286800,2020-04-19 09:00:00+00:00,239.2,239.2,237.8,237.8,238.6,9.0002506,6
1587287700,2020-04-19 09:15:00+00:00,237.9,238.3,237.9,238.3,237.9,16.97858251,11
1587288600,2020-04-19 09:30:00+00:00,238.3,238.5,237.7,238.5,237.8,24.09681348,4
1587289500,2020-04-19 09:45:00+00:00,238.2,240.0,238.2,240.0,239.5,81.64732443,26
1587290400,2020-04-19 10:00:00+00:00,240.0,240.0,239.2,239.2,239.6,7.34481128,9
1587291300,2020-04-19 10:15:00+00:00,239.3,239.6,238.8,239.3,239.0,29.6606987,26
1587292200,2020-04-19 10:30:00+00:00,239.3,239.3,239.3,239.3,0.0,0.0,0
1587293100,2020-04-19 10:45:00+00:00,239.3,239.3,238.6,239.1,238.8,68.11040868,9
1587294000,2020-04-19 11:00:00+00:00,239.1,239.4,238.3,238.3,239.2,44.77490261,16
1587294900,2020-04-19 11:15:00+00:00,237.8,238.2,236.7,236.7,237.3,59.72310247,24
1587295800,2020-04-19 11:30:00+00:00,237.0,237.9,237.0,237.9,237.2,37.26794059,15
1587296700,2020-04-19 11:45:00+00:00,238.0,238.2,237.7,238.0,237.8,22.681,13
1587297600,2020-04-19 12:00:00+00:00,238.0,238.0,238.0,238.0,0.0,0.0,0
1587298500,2020-04-19 12:15:00+00:00,237.7,237.7,236.4,236.5,237.1,73.17098158,24
1587299400,2020-04-19 12:30:00+00:00,236.5,236.9,236.5,236.8,236.6,66.94200291,24
1587300300,2020-04-19 12:45:00+00:00,236.8,238.0,236.8,237.7,237.2,29.84164655,20
1587301200,2020-04-19 13:00:00+00:00,237.7,237.8,236.7,236.7,237.0,8.974456199999997,11
