time,time_fmt,open,high,low,close,vwap,volume,count
1577448000,2019-12-27 12:00:00+00:00,2.2539,2.2948,2.245,2.2948,2.2834,2783.69185081,41
1577462400,2019-12-27 16:00:00+00:00,2.2948,2.3038,2.2855,2.2954,2.302,3111.21470469,28
1577476800,2019-12-27 20:00:00+00:00,2.2954,2.3061,2.2947,2.2996,2.3002,282.6641341,11
1577491200,2019-12-28 00:00:00+00:00,2.2991,2.36,2.2991,2.347,2.3287,7613.12724019,62
1577505600,2019-12-28 04:00:00+00:00,2.347,2.3742,2.3414,2.3503,2.3502,1179.03266609,31
1577520000,2019-12-28 08:00:00+00:00,2.3503,2.3627,2.341,2.35,2.3525,4326.24886607,47
1577534400,2019-12-28 12:00:00+00:00,2.35,2.37,2.3407,2.3546,2.3491,4148.52496649,34
1577548800,2019-12-28 16:00:00+00:00,2.3546,2.3723,2.3546,2.3722,2.3679,611.83573174,39
1577563200,2019-12-28 20:00:00+00:00,2.3688,2.3688,2.3461,2.3588,2.3537,2881.83089732,37
1577577600,2019-12-29 00:00:00+00:00,2.3588,2.3588,2.3391,2.3571,2.3465,93.05773409,9
1577592000,2019-12-29 04:00:00+00:00,2.3571,2.3599,2.345,2.3599,2.3552,429.24232138,16
1577606400,2019-12-29 08:00:00+00:00,2.3599,2.36,2.3465,2.354,2.3562,2207.74667284,27
1577620800,2019-12-29 12:00:00+00:00,2.354,2.4131,2.354,2.4122,2.3951,15308.0011158,105
1577635200,2019-12-29 16:00:00+00:00,2.4058,2.425,2.4,2.4167,2.4136,3439.31336774,61
1577649600,2019-12-29 20:00:00+00:00,2.4242,2.4243,2.3882,2.4032,2.4039,3680.90472182,52
1577664000,2019-12-30 00:00:00+00:00,2.4032,2.4061,2.3808,2.3951,2.3949,2658.2883867,29
1577678400,2019-12-30 04:00:00+00:00,2.3931,2.4222,2.3931,2.4111,2.4069,1263.09231,13
1577692800,2019-12-30 08:00:00+00:00,2.4053,2.4054,2.3666,2.3828,2.3863,7259.00903501,94
1577707200,2019-12-30 12:00:00+00:00,2.3828,2.3897,2.3278,2.3433,2.3559,18931.41938211,97
1577721600,2019-12-30 16:00:00+00:00,2.3433,2.3433,2.3176,2.3335,2.3285,6018.83407532,55
1577736000,2019-12-30 20:00:00+00:00,2.3335,2.3475,2.3303,2.3378,2.3374,1758.77938424,53
1577750400,2019-12-31 00:00:00+00:00,2.3315,2.3402,2.32,2.3335,2.3324,2048.59320552,22
1577764800,2019-12-31 04:00:00+00:00,2.3335,2.356,2.3303,2.3334,2.3347,2038.06607682,29
1577779200,2019-12-31 08:00:00+00:00,2.3334,2.3433,2.3155,2.3336,2.3255,3884.54489426,49
1577793600,2019-12-31 12:00:00+00:00,2.3321,2.3529,2.3,2.3067,2.3216,11763.52064682,100
1577808000,2019-12-31 16:00:00+00:00,2.3067,2.3137,2.28,2.2847,2.2912,1939.48438613,45
1577822400,2019-12-31 20:00:00+00:00,2.2847,2.3025,2.2808,2.3025,2.2971,2991.44647055,23
1577836800,2020-01-01 00:00:00+00:00,2.3025,2.3361,2.2993,2.3283,2.3226,1719.27362202,20
1577851200,2020-01-01 04:00:00+00:00,2.3283,2.3378,2.3283,2.3351,2.3371,170.71901915,3
1577865600,2020-01-01 08:00:00+00:00,2.3351,2.3351,2.3151,2.3231,2.3152,208.30459299,2
1577880000,2020-01-01 12:00:00+00:00,2.3231,2.3415,2.3231,2.333,2.3356,2593.0,13
1577894400,2020-01-01 16:00:00+00:00,2.333,2.3454,2.333,2.3378,2.3415,1009.74598833,30
1577908800,2020-01-01 20:00:00+00:00,2.3378,2.3378,2.3133,2.3133,2.3236,966.56414599,31
1577923200,2020-01-02 00:00:00+00:00,2.3079,2.314,2.285,2.285,2.2914,3755.28986684,26
1577937600,2020-01-02 04:00:00+00:00,2.2846,2.2951,2.2808,2.2841,2.2852,2286.49920637,22
1577952000,2020-01-02 08:00:00+00:00,2.2841,2.3104,2.2841,2.3052,2.3058,1729.94649004,36
1577966400,2020-01-02 12:00:00+00:00,2.3052,2.3078,2.2754,2.2775,2.2858,8300.83020172,44
1577980800,2020-01-02 16:00:00+00:00,2.2775,2.2789,2.1647,2.2,2.1988,31706.57436028,245
1577995200,2020-01-02 20:00:00+00:00,2.2,2.2009,2.1754,2.192,2.1876,5577.89635777,48
1578009600,2020-01-03 00:00:00+00:00,2.192,2.1966,2.1762,2.1914,2.1854,3938.71528686,18
1578024000,2020-01-03 04:00:00+00:00,2.1956,2.2831,2.1956,2.2731,2.2369,12978.51441768,93
1578038400,2020-01-03 08:00:00+00:00,2.2731,2.35,2.2731,2.34,2.3214,10939.37749334,127
1578052800,2020-01-03 12:00:00+00:00,2.34,2.364,2.3198,2.3547,2.3367,6566.75662176,80
1578067200,2020-01-03 16:00:00+00:00,2.3496,2.38,2.3365,2.3694,2.3681,6075.42970943,76
1578081600,2020-01-03 20:00:00+00:00,2.3694,2.3803,2.3449,2.3694,2.3609,924.78287264,34
1578096000,2020-01-04 00:00:00+00:00,2.3694,2.3694,2.3436,2.3529,2.3599,1949.89111606,19
1578110400,2020-01-04 04:00:00+00:00,2.3529,2.3825,2.3529,2.3705,2.3662,892.5708788999997,20
1578124800,2020-01-04 08:00:00+00:00,2.3705,2.3727,2.3594,2.3675,2.3665,1026.74657991,41
1578139200,2020-01-04 12:00:00+00:00,2.3637,2.3681,2.35,2.3621,2.3574,2009.99971311,54
1578153600,2020-01-04 16:00:00+00:00,2.3621,2.3739,2.353,2.3605,2.3649,165.57149013,10
1578168000,2020-01-04 20:00:00+00:00,2.3605,2.3675,2.3605,2.3675,2.3651,321.51755786,15
1578182400,2020-01-05 00:00:00+00:00,2.38,2.4201,2.38,2.4148,2.4009,7835.10395708,110
1578196800,2020-01-05 04:00:00+00:00,2.4148,2.4148,2.4028,2.4028,2.4071,174.52917733,18
1578211200,2020-01-05 08:00:00+00:00,2.4028,2.4096,2.3881,2.4025,2.3962,1740.07327729,32
1578225600,2020-01-05 12:00:00+00:00,2.4025,2.4692,2.3947,2.4569,2.417,31702.042396599994,217
1578240000,2020-01-05 16:00:00+00:00,2.4569,2.4899,2.4535,2.4535,2.474,30792.19698689,109
1578254400,2020-01-05 20:00:00+00:00,2.4535,2.4555,2.3863,2.3963,2.4069,6099.20898214,76
1578268800,2020-01-06 00:00:00+00:00,2.3963,2.4662,2.3963,2.45,2.4488,16668.38377557,43
1578283200,2020-01-06 04:00:00+00:00,2.45,2.492,2.45,2.4632,2.4724,3876.50507671,40
1578297600,2020-01-06 08:00:00+00:00,2.4632,2.5132,2.4632,2.4875,2.4929,8655.84381123,160
1578312000,2020-01-06 12:00:00+00:00,2.4875,2.5165,2.442,2.47,2.4818,7355.43146132,85
