time,time_fmt,open,high,low,close,vwap,volume,count
1577448000,2019-12-27 12:00:00+00:00,40.01,40.61,38.50,40.13,39.81,4561.45869999,410
1577462400,2019-12-27 16:00:00+00:00,40.10,40.15,39.84,39.96,40.03,273.83006503,73
1577476800,2019-12-27 20:00:00+00:00,40.02,40.23,39.95,40.23,40.12,87.27959273,20
1577491200,2019-12-28 00:00:00+00:00,40.30,40.61,40.23,40.28,40.45,196.43418516,65
1577505600,2019-12-28 04:00:00+00:00,40.24,40.77,40.24,40.62,40.61,670.91836704,120
1577520000,2019-12-28 08:00:00+00:00,40.43,40.72,40.25,40.60,40.37,294.21605543,59
1577534400,2019-12-28 12:00:00+00:00,40.53,40.80,40.37,40.57,40.49,498.11097054,84
1577548800,2019-12-28 16:00:00+00:00,40.50,40.73,40.46,40.71,40.59,488.99925211,61
1577563200,2019-12-28 20:00:00+00:00,40.72,40.83,40.49,40.59,40.57,202.05635416,46
1577577600,2019-12-29 00:00:00+00:00,40.49,40.59,40.39,40.56,40.47,28.92660070,21
1577592000,2019-12-29 04:00:00+00:00,40.46,41.49,40.46,41.49,41.01,268.91599012,63
1577606400,2019-12-29 08:00:00+00:00,41.47,41.60,41.17,41.23,41.27,412.43031993,65
1577620800,2019-12-29 12:00:00+00:00,41.48,41.57,41.29,41.57,41.41,66.56351446,44
1577635200,2019-12-29 16:00:00+00:00,41.53,41.91,41.37,41.91,41.69,63.48520190,49
1577649600,2019-12-29 20:00:00+00:00,41.90,42.15,41.12,41.62,41.52,1782.94349584,156
1577664000,2019-12-30 00:00:00+00:00,41.45,41.45,41.14,41.22,41.28,78.74500443,40
1577678400,2019-12-30 04:00:00+00:00,41.28,41.48,41.28,41.46,41.44,118.03141000,23
1577692800,2019-12-30 08:00:00+00:00,41.47,41.49,41.10,41.18,41.18,301.53040076,57
1577707200,2019-12-30 12:00:00+00:00,41.15,41.37,40.80,41.13,40.99,501.67585293,189
1577721600,2019-12-30 16:00:00+00:00,41.13,41.17,40.49,40.64,40.84,1380.99427347,216
1577736000,2019-12-30 20:00:00+00:00,40.71,41.14,40.48,41.00,40.80,1135.03869101,161
1577750400,2019-12-31 00:00:00+00:00,40.93,40.93,40.44,40.63,40.53,317.59393231,69
