time,time_fmt,open,high,low,close,vwap,volume,count
1586518200,2020-04-10 11:30:00+00:00,2.81676,2.83456,2.79931,2.80657,2.81105,4614.96859104,19
1586520000,2020-04-10 12:00:00+00:00,2.79276,2.82632,2.77437,2.81479,2.80725,8357.45754051,47
1586521800,2020-04-10 12:30:00+00:00,2.81479,2.81894,2.78206,2.81350,2.80195,26903.90012879,43
1586523600,2020-04-10 13:00:00+00:00,2.81350,2.81703,2.78060,2.78774,2.79304,3395.73287545,25
1586525400,2020-04-10 13:30:00+00:00,2.76317,2.78676,2.73271,2.78676,2.75025,6530.27981964,54
1586527200,2020-04-10 14:00:00+00:00,2.78904,2.78908,2.75451,2.75451,2.77471,183.86823851,7
1586529000,2020-04-10 14:30:00+00:00,2.76051,2.77340,2.75545,2.75643,2.76154,3669.02474544,23
1586530800,2020-04-10 15:00:00+00:00,2.77545,2.78449,2.72087,2.72087,2.73926,19060.72187678,72
1586532600,2020-04-10 15:30:00+00:00,2.71216,2.76504,2.70006,2.74722,2.73133,14244.91771100,86
1586534400,2020-04-10 16:00:00+00:00,2.72998,2.82200,2.72830,2.80998,2.81224,9722.80970002,42
1586536200,2020-04-10 16:30:00+00:00,2.80879,2.84898,2.79541,2.84183,2.83043,17029.88107376,48
1586538000,2020-04-10 17:00:00+00:00,2.85315,2.97422,2.85314,2.97422,2.92695,40474.38903619,93
1586539800,2020-04-10 17:30:00+00:00,2.98179,3.00465,2.91561,2.98000,2.96645,25189.60852076,165
1586541600,2020-04-10 18:00:00+00:00,2.96460,2.97000,2.92040,2.97000,2.95131,23823.66798132,117
1586543400,2020-04-10 18:30:00+00:00,2.96695,3.02109,2.96695,2.99512,3.00884,14318.42332798,38
1586545200,2020-04-10 19:00:00+00:00,2.99512,3.05015,2.99500,3.01675,3.02990,9371.94641566,67
1586547000,2020-04-10 19:30:00+00:00,3.04105,3.04105,2.94063,3.00046,2.97706,17450.92764820,80
1586548800,2020-04-10 20:00:00+00:00,2.99214,3.00034,2.95405,2.95830,2.97353,6875.31522463,40
1586550600,2020-04-10 20:30:00+00:00,2.95664,2.98000,2.95664,2.96584,2.96940,558.54470064,7
1586552400,2020-04-10 21:00:00+00:00,2.96584,2.99647,2.96584,2.97655,2.99220,1151.29032000,8
1586554200,2020-04-10 21:30:00+00:00,2.97655,2.97655,2.92537,2.93622,2.93888,10115.93903852,27
1586556000,2020-04-10 22:00:00+00:00,2.96556,2.98279,2.96556,2.98279,2.97395,2093.96177227,5
1586557800,2020-04-10 22:30:00+00:00,2.97882,2.97882,2.95737,2.95737,2.96171,1016.35168567,4
1586559600,2020-04-10 23:00:00+00:00,2.95737,2.95862,2.93149,2.93381,2.93661,85.00000000,10
1586561400,2020-04-10 23:30:00+00:00,2.92229,2.94061,2.92229,2.93311,2.92994,11492.66011252,41
1586563200,2020-04-11 00:00:00+00:00,2.96000,2.97736,2.92979,2.92979,2.95775,6107.98253841,14
