time,time_fmt,open,high,low,close,vwap,volume,count
1586518200,2020-04-10 11:30:00+00:00,39.12,39.13,38.97,39.09,39.01,200.44411515,29
1586520000,2020-04-10 12:00:00+00:00,39.09,39.21,38.84,39.17,39.12,148.33592324,38
1586521800,2020-04-10 12:30:00+00:00,39.08,39.21,39.06,39.09,39.11,570.10381701,27
1586523600,2020-04-10 13:00:00+00:00,39.09,39.19,38.89,38.89,39.06,448.93485759,20
1586525400,2020-04-10 13:30:00+00:00,38.89,38.96,38.32,38.94,38.65,474.44714698,52
1586527200,2020-04-10 14:00:00+00:00,38.94,39.07,38.88,38.88,38.96,505.53885650000007,21
1586529000,2020-04-10 14:30:00+00:00,38.88,38.88,38.46,38.68,38.69,578.38582409,41
1586530800,2020-04-10 15:00:00+00:00,38.56,38.71,37.8,38.09,38.11,1994.16238361,159
1586532600,2020-04-10 15:30:00+00:00,37.84,37.99,37.52,37.66,37.7,1304.9240464000004,97
1586534400,2020-04-10 16:00:00+00:00,37.58,38.19,37.54,38.19,37.84,142.91862631,36
1586536200,2020-04-10 16:30:00+00:00,38.05,38.55,37.95,38.55,38.19,381.34631841,40
1586538000,2020-04-10 17:00:00+00:00,38.48,38.64,38.34,38.63,38.49,320.03579143,30
1586539800,2020-04-10 17:30:00+00:00,38.69,38.8,38.59,38.68,38.7,126.04894637,34
1586541600,2020-04-10 18:00:00+00:00,38.62,38.66,38.45,38.6,38.59,243.2872126,26
1586543400,2020-04-10 18:30:00+00:00,38.63,38.88,38.63,38.82,38.68,93.4877333,20
1586545200,2020-04-10 19:00:00+00:00,38.92,39.15,38.92,39.1,39.09,1023.54828591,47
1586547000,2020-04-10 19:30:00+00:00,39.1,39.19,38.81,38.95,39.05,92.92863715,22
1586548800,2020-04-10 20:00:00+00:00,38.95,39.04,38.77,38.77,38.9,115.15735044,13
1586550600,2020-04-10 20:30:00+00:00,38.77,38.82,38.77,38.78,38.79,73.67457527,8
