time,time_fmt,open,high,low,close,vwap,volume,count
1586518200,2020-04-10 11:30:00+00:00,42.81,42.81,42.55,42.69,42.55,46.87432,11
1586520000,2020-04-10 12:00:00+00:00,42.45,42.79,42.45,42.78,42.68,294.77959513,21
1586521800,2020-04-10 12:30:00+00:00,42.78,42.79,42.67,42.73,42.69,358.63421033,22
1586523600,2020-04-10 13:00:00+00:00,42.67,42.67,42.38,42.43,42.61,2815.16813265,48
1586525400,2020-04-10 13:30:00+00:00,42.43,42.55,41.86,42.55,42.25,1003.99017057,66
1586527200,2020-04-10 14:00:00+00:00,42.57,42.68,42.48,42.48,42.61,113.2604106,21
1586529000,2020-04-10 14:30:00+00:00,42.35,42.41,42.01,42.15,42.16,85.98780849,23
1586530800,2020-04-10 15:00:00+00:00,42.25,42.25,41.34,41.5,41.6,826.57949196,73
1586532600,2020-04-10 15:30:00+00:00,41.5,41.57,41.0,41.13,41.22,1220.86042871,84
1586534400,2020-04-10 16:00:00+00:00,41.03,41.81,41.03,41.72,41.41,657.69801505,38
1586536200,2020-04-10 16:30:00+00:00,41.72,42.05,41.49,42.05,41.95,494.77570594,31
1586538000,2020-04-10 17:00:00+00:00,42.05,42.14,41.91,42.14,41.93,129.23419638,13
1586539800,2020-04-10 17:30:00+00:00,42.19,42.44,42.13,42.25,42.26,405.91896168,46
1586541600,2020-04-10 18:00:00+00:00,42.2,42.2,41.95,42.15,42.0,468.7279363,26
1586543400,2020-04-10 18:30:00+00:00,42.35,42.5,42.28,42.34,42.44,471.34432204,23
1586545200,2020-04-10 19:00:00+00:00,42.34,42.71,42.34,42.7,42.66,137.203544,15
1586547000,2020-04-10 19:30:00+00:00,42.75,42.75,42.39,42.52,42.5,41.85690302,16
1586548800,2020-04-10 20:00:00+00:00,42.52,42.58,42.37,42.37,42.48,19.36610661,6
1586550600,2020-04-10 20:30:00+00:00,42.37,42.4,42.32,42.35,42.38,50.36603774,21
1586552400,2020-04-10 21:00:00+00:00,42.44,42.66,42.42,42.59,42.54,372.29861815,20
1586554200,2020-04-10 21:30:00+00:00,42.59,42.59,42.39,42.45,42.48,80.14234325,18
