time,time_fmt,open,high,low,close,vwap,volume,count
1586518200,2020-04-10 11:30:00+00:00,54.79,54.88,54.65,54.88,54.72,19.55971167,8
1586520000,2020-04-10 12:00:00+00:00,54.88,54.88,54.69,54.78,54.79,319.49652564,26
1586521800,2020-04-10 12:30:00+00:00,54.71,54.83,54.71,54.83,54.76,21.04949061,6
1586523600,2020-04-10 13:00:00+00:00,54.83,54.83,54.48,54.56,54.59,63.66496344,13
1586525400,2020-04-10 13:30:00+00:00,54.56,54.7,53.84,54.36,54.41,1208.40683192,93
1586527200,2020-04-10 14:00:00+00:00,54.53,55.03,54.28,54.51,54.75,2143.9670909,86
1586529000,2020-04-10 14:30:00+00:00,54.39,54.44,53.5,53.9,53.88,3864.80114117,160
1586530800,2020-04-10 15:00:00+00:00,53.83,53.98,52.91,53.26,53.17,1269.70935228,86
1586532600,2020-04-10 15:30:00+00:00,53.07,53.16,52.0,52.82,52.52,2424.5531258,231
1586534400,2020-04-10 16:00:00+00:00,52.7,54.38,52.43,53.77,53.44,6680.005853600002,291
1586536200,2020-04-10 16:30:00+00:00,53.68,54.0,53.49,54.0,53.74,408.02116844,73
1586538000,2020-04-10 17:00:00+00:00,54.01,54.19,53.94,54.09,54.0,55.86069545,14
1586539800,2020-04-10 17:30:00+00:00,54.09,54.3,54.07,54.07,54.15,92.9652361,16
1586541600,2020-04-10 18:00:00+00:00,53.91,53.91,53.71,53.72,53.78,30.90595844,11
1586543400,2020-04-10 18:30:00+00:00,53.72,54.44,53.72,54.44,54.43,8.93839863,3
1586545200,2020-04-10 19:00:00+00:00,54.49,54.67,54.24,54.58,54.45,429.40875835,36
1586547000,2020-04-10 19:30:00+00:00,54.58,54.58,54.17,54.17,54.44,377.40946,55
1586548800,2020-04-10 20:00:00+00:00,54.17,54.19,54.16,54.16,54.17,11.73428303,3
1586550600,2020-04-10 20:30:00+00:00,54.16,54.21,54.16,54.21,54.21,2.75984136,1
1586552400,2020-04-10 21:00:00+00:00,54.21,54.37,54.21,54.37,54.31,56.7,7
1586554200,2020-04-10 21:30:00+00:00,54.37,54.37,53.97,53.97,54.12,58.07777835,9
1586556000,2020-04-10 22:00:00+00:00,54.08,54.08,54.08,54.08,54.08,3.2264046000000004,4
1586557800,2020-04-10 22:30:00+00:00,54.08,54.1,53.73,53.85,53.87,86.81931831,18
1586559600,2020-04-10 23:00:00+00:00,53.94,53.94,53.56,53.6,53.65,18.85838403,21
1586561400,2020-04-10 23:30:00+00:00,53.6,53.85,53.6,53.79,53.81,108.8688013,8
1586563200,2020-04-11 00:00:00+00:00,54.0,54.0,54.0,54.0,54.0,8.29203889,1
1586565000,2020-04-11 00:30:00+00:00,54.0,54.02,53.85,54.02,53.96,9.7761095,5
1586566800,2020-04-11 01:00:00+00:00,54.1,54.1,53.87,53.87,53.89,34.83445878,9
1586568600,2020-04-11 01:30:00+00:00,53.87,53.91,53.87,53.91,53.91,2.37,1
1586570400,2020-04-11 02:00:00+00:00,54.21,54.3,54.21,54.3,54.27,9.46201892,6
1586572200,2020-04-11 02:30:00+00:00,54.3,54.36,54.3,54.36,54.36,6.0,1
1586574000,2020-04-11 03:00:00+00:00,54.39,54.39,54.39,54.39,54.39,5.0,1
1586575800,2020-04-11 03:30:00+00:00,54.39,54.49,54.39,54.49,54.44,10.89942109,23
1586577600,2020-04-11 04:00:00+00:00,54.49,54.61,54.49,54.61,54.56,1.6078166,5
1586579400,2020-04-11 04:30:00+00:00,54.61,54.78,54.61,54.69,54.72,45.0,9
1586581200,2020-04-11 05:00:00+00:00,54.61,54.61,54.48,54.48,54.59,10.83445878,4
1586583000,2020-04-11 05:30:00+00:00,54.48,54.86,54.48,54.86,54.69,27.08673254,15
1586584800,2020-04-11 06:00:00+00:00,54.86,54.88,54.86,54.88,54.88,7.0,1
1586586600,2020-04-11 06:30:00+00:00,54.88,54.88,54.88,54.88,0.0,0.0,0
1586588400,2020-04-11 07:00:00+00:00,54.66,54.66,54.37,54.4,54.58,4.53563489,5
1586590200,2020-04-11 07:30:00+00:00,54.26,54.47,54.22,54.25,54.34,21.22587125,13
1586592000,2020-04-11 08:00:00+00:00,54.23,54.44,54.18,54.44,54.23,12.86111487,6
1586593800,2020-04-11 08:30:00+00:00,54.46,54.64,54.46,54.57,54.57,44.07661689,15
1586595600,2020-04-11 09:00:00+00:00,54.57,54.57,54.07,54.07,54.12,7.40072302,9
1586597400,2020-04-11 09:30:00+00:00,54.07,54.08,53.88,53.88,53.9,418.42387116,16
1586599200,2020-04-11 10:00:00+00:00,53.88,54.05,53.75,54.05,53.8,963.06203591,26
1586601000,2020-04-11 10:30:00+00:00,54.05,54.05,53.56,53.56,53.56,8.1491713,6
1586602800,2020-04-11 11:00:00+00:00,53.56,54.0,53.56,54.0,53.83,8.10497419,6
1586604600,2020-04-11 11:30:00+00:00,54.0,54.11,54.0,54.11,54.11,4.0,1
1586606400,2020-04-11 12:00:00+00:00,54.14,54.14,53.88,53.88,54.0,9.51764695,5
1586608200,2020-04-11 12:30:00+00:00,53.88,53.88,53.02,53.65,53.47,3916.29582953,170
1586610000,2020-04-11 13:00:00+00:00,53.6,53.66,53.59,53.6,53.62,231.84490196,37
1586611800,2020-04-11 13:30:00+00:00,53.73,53.92,53.6,53.92,53.76,174.66390987,19
1586613600,2020-04-11 14:00:00+00:00,53.82,53.82,53.17,53.48,53.46,285.67840043,50
1586615400,2020-04-11 14:30:00+00:00,53.48,53.48,53.26,53.33,53.35,51.154,12
1586617200,2020-04-11 15:00:00+00:00,53.27,53.35,53.27,53.33,53.29,16.48000751,3
1586619000,2020-04-11 15:30:00+00:00,53.36,53.36,53.36,53.36,53.36,4.0,4
1586620800,2020-04-11 16:00:00+00:00,53.36,53.66,53.36,53.6,53.52,34.92359436,12
1586622600,2020-04-11 16:30:00+00:00,53.6,53.61,53.0,53.07,53.29,78.87392594,13
1586624400,2020-04-11 17:00:00+00:00,52.83,53.02,52.76,53.02,52.85,1837.37898375,67
1586626200,2020-04-11 17:30:00+00:00,53.02,53.21,53.02,53.05,53.1,35.2,18
1586628000,2020-04-11 18:00:00+00:00,53.05,53.07,53.05,53.07,53.07,4.0,2
1586629800,2020-04-11 18:30:00+00:00,53.07,53.29,53.07,53.29,53.29,7.0,2
1586631600,2020-04-11 19:00:00+00:00,53.29,53.33,53.25,53.33,53.29,10.07437972,2
1586633400,2020-04-11 19:30:00+00:00,53.33,53.33,52.99,52.99,53.01,85.0,16
1586635200,2020-04-11 20:00:00+00:00,52.86,52.92,52.62,52.92,52.84,468.59598209,39
1586637000,2020-04-11 20:30:00+00:00,52.92,52.92,52.78,52.78,52.78,7.0,2
1586638800,2020-04-11 21:00:00+00:00,52.78,52.78,52.63,52.63,52.65,30.0,8
1586640600,2020-04-11 21:30:00+00:00,52.76,53.33,52.76,53.33,53.16,38.08281563,12
1586642400,2020-04-11 22:00:00+00:00,53.58,53.6,53.4,53.49,53.54,18.0,5
1586644200,2020-04-11 22:30:00+00:00,53.49,53.79,53.49,53.59,53.64,5.26027977,7
1586646000,2020-04-11 23:00:00+00:00,53.59,53.74,53.54,53.74,53.61,9.083186,13
1586647800,2020-04-11 23:30:00+00:00,53.74,53.74,53.74,53.74,0.0,0.0,0
1586649600,2020-04-12 00:00:00+00:00,53.74,54.09,53.74,53.91,53.93,115.81438,18
1586651400,2020-04-12 00:30:00+00:00,53.91,53.91,53.91,53.91,53.91,1.0,1
1586653200,2020-04-12 01:00:00+00:00,53.91,53.96,53.87,53.88,53.89,29.0,6
1586655000,2020-04-12 01:30:00+00:00,53.88,54.06,53.88,54.06,54.0,61.0,13
