time,time_fmt,open,high,low,close,vwap,volume,count
1586518200,2020-04-10 11:30:00+00:00,35.70,35.85,35.64,35.64,35.76,1.29514085,4
1586520000,2020-04-10 12:00:00+00:00,35.56,36.00,35.56,35.94,35.92,2147.12333871,53
1586521800,2020-04-10 12:30:00+00:00,35.85,35.90,35.71,35.79,35.84,211.48173121,25
1586523600,2020-04-10 13:00:00+00:00,35.79,35.79,35.59,35.64,35.59,81.00000000,6
1586525400,2020-04-10 13:30:00+00:00,35.48,35.79,35.13,35.79,35.32,544.19016410,46
1586527200,2020-04-10 14:00:00+00:00,35.71,36.01,35.67,35.75,35.92,133.71050019,24
1586529000,2020-04-10 14:30:00+00:00,35.75,35.79,35.41,35.58,35.47,59.07149235,19
1586530800,2020-04-10 15:00:00+00:00,35.58,35.59,34.82,34.84,35.03,47.87022436,22
1586532600,2020-04-10 15:30:00+00:00,34.73,35.04,34.62,34.62,34.79,262.35977375,22
1586534400,2020-04-10 16:00:00+00:00,34.57,35.81,34.51,35.77,34.88,105.61272299,33
1586536200,2020-04-10 16:30:00+00:00,35.59,36.05,35.52,36.00,35.82,258.03000000,32
1586538000,2020-04-10 17:00:00+00:00,35.95,36.10,35.74,36.10,35.88,57.04409155,13
1586539800,2020-04-10 17:30:00+00:00,36.05,36.11,35.85,35.85,35.94,17.07391196,5
1586541600,2020-04-10 18:00:00+00:00,35.84,36.00,35.68,36.00,35.68,114.75288693,13
1586543400,2020-04-10 18:30:00+00:00,36.09,36.23,36.07,36.22,36.16,607.60404484,28
1586545200,2020-04-10 19:00:00+00:00,36.22,36.22,36.22,36.22,36.22,216.52012000,22
1586547000,2020-04-10 19:30:00+00:00,36.03,36.07,35.94,35.94,35.99,10.00000000,3
1586548800,2020-04-10 20:00:00+00:00,36.03,36.03,36.03,36.03,36.03,1.00000000,1
1586550600,2020-04-10 20:30:00+00:00,36.03,36.03,36.03,36.03,0.00,0.00000000,0
1586552400,2020-04-10 21:00:00+00:00,36.03,36.03,36.03,36.03,0.00,0.00000000,0
1586554200,2020-04-10 21:30:00+00:00,36.03,36.18,36.03,36.08,36.12,6.98000000,9
1586556000,2020-04-10 22:00:00+00:00,36.25,36.27,36.25,36.27,36.25,40.00000000,4
1586557800,2020-04-10 22:30:00+00:00,36.08,36.10,35.81,35.96,35.93,45.80913578,10
1586559600,2020-04-10 23:00:00+00:00,35.96,35.96,35.82,35.82,35.82,1.00000000,2
1586561400,2020-04-10 23:30:00+00:00,35.82,36.85,35.82,36.85,36.55,366.87564233,41
1586563200,2020-04-11 00:00:00+00:00,36.88,36.97,36.50,36.50,36.88,31.46462386,7
1586565000,2020-04-11 00:30:00+00:00,36.28,36.47,36.28,36.47,36.38,119.21324000,15
1586566800,2020-04-11 01:00:00+00:00,36.39,36.44,36.36,36.43,36.41,12.21000000,7
1586568600,2020-04-11 01:30:00+00:00,36.73,36.73,36.73,36.73,36.73,0.10682623,1
1586570400,2020-04-11 02:00:00+00:00,36.73,36.73,36.73,36.73,0.00,0.00000000,0
1586572200,2020-04-11 02:30:00+00:00,36.73,36.73,36.73,36.73,0.00,0.00000000,0
1586574000,2020-04-11 03:00:00+00:00,36.77,36.90,36.71,36.72,36.86,11.86500744,17
1586575800,2020-04-11 03:30:00+00:00,36.72,36.72,36.72,36.72,0.00,0.00000000,0
1586577600,2020-04-11 04:00:00+00:00,36.72,36.98,36.72,36.98,36.98,0.08866296,1
1586579400,2020-04-11 04:30:00+00:00,36.98,36.98,36.98,36.98,0.00,0.00000000,0
1586581200,2020-04-11 05:00:00+00:00,36.98,36.98,36.98,36.98,0.00,0.00000000,0
1586583000,2020-04-11 05:30:00+00:00,36.90,37.00,36.90,37.00,36.92,31.08500000,12
1586584800,2020-04-11 06:00:00+00:00,37.00,37.53,37.00,37.50,37.29,44.17365942,12
1586586600,2020-04-11 06:30:00+00:00,37.42,37.44,37.27,37.27,37.31,7.56920000,4
1586588400,2020-04-11 07:00:00+00:00,37.05,37.05,36.48,36.67,36.58,168.32166204,20
1586590200,2020-04-11 07:30:00+00:00,36.67,36.73,36.67,36.70,36.71,25.00872000,3
1586592000,2020-04-11 08:00:00+00:00,36.71,36.97,36.71,36.84,36.90,2175.06641061,50
1586593800,2020-04-11 08:30:00+00:00,36.93,36.94,36.72,36.72,36.91,98.25838000,11
1586595600,2020-04-11 09:00:00+00:00,36.68,36.73,36.37,36.37,36.59,258.70544416,31
1586597400,2020-04-11 09:30:00+00:00,36.37,36.37,36.03,36.25,36.18,71.14637170,8
1586599200,2020-04-11 10:00:00+00:00,36.49,36.52,36.49,36.52,36.50,7.82271808,3
1586601000,2020-04-11 10:30:00+00:00,36.46,36.50,36.20,36.20,36.45,102.97412591,10
1586602800,2020-04-11 11:00:00+00:00,36.20,36.20,36.20,36.20,0.00,0.00000000,0
1586604600,2020-04-11 11:30:00+00:00,36.20,36.20,36.20,36.20,0.00,0.00000000,0
1586606400,2020-04-11 12:00:00+00:00,36.51,36.51,36.51,36.51,36.51,4.00000000,1
1586608200,2020-04-11 12:30:00+00:00,36.51,36.51,36.19,36.19,36.19,0.99799998,3
1586610000,2020-04-11 13:00:00+00:00,36.19,36.19,36.19,36.19,0.00,0.00000000,0
1586611800,2020-04-11 13:30:00+00:00,36.19,36.28,36.19,36.28,36.22,45.22000000,6
1586613600,2020-04-11 14:00:00+00:00,36.28,36.28,35.91,35.91,36.04,42.80632052,5
1586615400,2020-04-11 14:30:00+00:00,35.91,35.91,35.91,35.91,0.00,0.00000000,0
1586617200,2020-04-11 15:00:00+00:00,35.98,35.98,35.98,35.98,35.98,13.75764314,2
1586619000,2020-04-11 15:30:00+00:00,35.98,35.98,35.98,35.98,0.00,0.00000000,0
1586620800,2020-04-11 16:00:00+00:00,36.34,36.57,36.34,36.57,36.45,23.78975962,7
1586622600,2020-04-11 16:30:00+00:00,36.57,36.57,36.10,36.10,36.10,0.51838177,2
1586624400,2020-04-11 17:00:00+00:00,36.10,36.10,36.10,36.10,0.00,0.00000000,0
1586626200,2020-04-11 17:30:00+00:00,36.10,36.10,36.10,36.10,0.00,0.00000000,0
1586628000,2020-04-11 18:00:00+00:00,35.77,35.77,35.70,35.70,35.76,7.79946500,2
1586629800,2020-04-11 18:30:00+00:00,35.70,36.08,35.70,35.96,36.07,8.02500000,2
1586631600,2020-04-11 19:00:00+00:00,35.83,36.02,35.83,36.00,35.93,9.21000000,11
1586633400,2020-04-11 19:30:00+00:00,36.00,36.00,36.00,36.00,0.00,0.00000000,0
1586635200,2020-04-11 20:00:00+00:00,35.69,35.69,35.36,35.36,35.63,98.85022180,10
1586637000,2020-04-11 20:30:00+00:00,35.36,35.46,35.36,35.46,35.46,2.09272830,1
1586638800,2020-04-11 21:00:00+00:00,35.46,35.46,35.35,35.35,35.35,40.00000002,8
1586640600,2020-04-11 21:30:00+00:00,35.35,35.46,35.35,35.46,35.39,2.01874496,4
1586642400,2020-04-11 22:00:00+00:00,36.09,36.30,36.09,36.21,36.18,167.04726149,14
1586644200,2020-04-11 22:30:00+00:00,36.21,36.26,36.12,36.12,36.22,29.88839550,7
1586646000,2020-04-11 23:00:00+00:00,36.06,36.28,36.06,36.28,36.07,15.72395342,3
1586647800,2020-04-11 23:30:00+00:00,36.28,36.28,36.12,36.12,36.13,79.58287596,9
1586649600,2020-04-12 00:00:00+00:00,36.22,36.62,36.22,36.31,36.38,2.00246367,5
1586651400,2020-04-12 00:30:00+00:00,36.31,36.31,36.31,36.31,0.00,0.00000000,0
1586653200,2020-04-12 01:00:00+00:00,36.10,36.10,36.10,36.10,36.10,0.51838178,1
1586655000,2020-04-12 01:30:00+00:00,36.10,36.10,36.10,36.10,0.00,0.00000000,0
1586656800,2020-04-12 02:00:00+00:00,36.10,36.10,35.86,35.86,35.86,80.07000000,5
1586658600,2020-04-12 02:30:00+00:00,35.86,35.86,35.86,35.86,0.00,0.00000000,0
1586660400,2020-04-12 03:00:00+00:00,35.86,35.86,35.81,35.81,35.81,10.00000000,1
1586662200,2020-04-12 03:30:00+00:00,35.81,35.81,35.64,35.64,35.69,100.52514084,7
1586664000,2020-04-12 04:00:00+00:00,35.64,35.64,35.64,35.64,0.00,0.00000000,0
1586665800,2020-04-12 04:30:00+00:00,35.64,35.64,35.64,35.64,0.00,0.00000000,0
1586667600,2020-04-12 05:00:00+00:00,35.64,35.64,35.64,35.64,0.00,0.00000000,0
1586669400,2020-04-12 05:30:00+00:00,35.64,36.10,35.64,36.10,36.10,0.52514084,1
1586671200,2020-04-12 06:00:00+00:00,36.44,36.44,36.32,36.32,36.34,0.51900000,4
1586673000,2020-04-12 06:30:00+00:00,36.14,36.15,36.14,36.15,36.14,0.20900000,2
1586674800,2020-04-12 07:00:00+00:00,36.15,36.15,36.09,36.09,36.11,0.21900000,2
1586676600,2020-04-12 07:30:00+00:00,36.09,36.09,36.09,36.09,0.00,0.00000000,0
1586678400,2020-04-12 08:00:00+00:00,36.09,36.09,36.09,36.09,0.00,0.00000000,0
1586680200,2020-04-12 08:30:00+00:00,36.09,36.09,36.09,36.09,0.00,0.00000000,0
1586682000,2020-04-12 09:00:00+00:00,36.46,36.46,36.46,36.46,36.46,1.00000000,1
1586683800,2020-04-12 09:30:00+00:00,36.46,36.46,36.46,36.46,0.00,0.00000000,0
1586685600,2020-04-12 10:00:00+00:00,36.46,36.46,36.46,36.46,0.00,0.00000000,0
1586687400,2020-04-12 10:30:00+00:00,36.46,36.46,36.46,36.46,0.00,0.00000000,0
1586689200,2020-04-12 11:00:00+00:00,36.00,36.00,36.00,36.00,36.00,0.50000000,1
1586691000,2020-04-12 11:30:00+00:00,36.00,36.00,36.00,36.00,0.00,0.00000000,0
1586692800,2020-04-12 12:00:00+00:00,36.00,36.68,36.00,36.66,36.66,62.19838178,8
1586694600,2020-04-12 12:30:00+00:00,36.66,36.66,36.66,36.66,0.00,0.00000000,0
1586696400,2020-04-12 13:00:00+00:00,36.66,36.66,36.66,36.66,0.00,0.00000000,0
1586698200,2020-04-12 13:30:00+00:00,36.60,36.60,36.54,36.54,36.57,2.00000000,2
1586700000,2020-04-12 14:00:00+00:00,36.54,36.87,36.54,36.87,36.66,2.23009093,4
1586701800,2020-04-12 14:30:00+00:00,36.87,37.21,36.87,37.21,37.20,15.25870970,5
1586703600,2020-04-12 15:00:00+00:00,37.21,37.21,37.17,37.17,37.17,4.70270270,1
1586705400,2020-04-12 15:30:00+00:00,37.17,37.31,37.17,37.24,37.30,18.87388284,2
1586707200,2020-04-12 16:00:00+00:00,37.42,37.68,37.36,37.65,37.61,315.52494985,23
1586709000,2020-04-12 16:30:00+00:00,37.65,37.98,37.65,37.89,37.95,51.56739646,3
1586710800,2020-04-12 17:00:00+00:00,38.02,38.15,37.50,37.59,37.87,235.53290010,33
1586712600,2020-04-12 17:30:00+00:00,37.59,37.59,37.38,37.39,37.39,9.20118918,6
1586714400,2020-04-12 18:00:00+00:00,37.57,37.57,37.47,37.47,37.50,15.77068561,5
1586716200,2020-04-12 18:30:00+00:00,37.47,37.47,37.27,37.44,37.31,374.01389994,15
1586718000,2020-04-12 19:00:00+00:00,37.56,37.56,37.56,37.56,37.56,5.00000000,1
1586719800,2020-04-12 19:30:00+00:00,37.59,37.60,37.48,37.54,37.57,49.44797219,18
1586721600,2020-04-12 20:00:00+00:00,37.54,37.54,37.54,37.54,0.00,0.00000000,0
1586723400,2020-04-12 20:30:00+00:00,37.75,37.75,37.25,37.27,37.31,260.47647658,28
1586725200,2020-04-12 21:00:00+00:00,37.37,37.38,37.20,37.20,37.35,106.00000000,15
1586727000,2020-04-12 21:30:00+00:00,37.33,37.33,37.33,37.33,37.33,9.12426282,1
1586728800,2020-04-12 22:00:00+00:00,37.38,37.47,36.72,36.77,37.06,459.82203162,46
1586730600,2020-04-12 22:30:00+00:00,36.93,37.10,36.93,36.99,37.02,39.80085000,6
1586732400,2020-04-12 23:00:00+00:00,36.98,36.98,36.98,36.98,36.98,0.32176970,3
1586734200,2020-04-12 23:30:00+00:00,36.94,36.94,36.27,36.27,36.50,192.99495998,26
1586736000,2020-04-13 00:00:00+00:00,36.13,36.26,35.24,35.29,35.62,166.49774889,28
1586737800,2020-04-13 00:30:00+00:00,35.29,35.64,34.70,35.64,35.07,640.78441847,76
1586739600,2020-04-13 01:00:00+00:00,35.64,35.64,35.58,35.58,35.58,0.18719993,1
1586741400,2020-04-13 01:30:00+00:00,35.28,35.29,35.28,35.29,35.28,15.00000000,2
1586743200,2020-04-13 02:00:00+00:00,35.18,35.18,35.01,35.10,35.07,24.83320805,5
1586745000,2020-04-13 02:30:00+00:00,35.10,35.25,35.10,35.16,35.17,8.71885351,26
1586746800,2020-04-13 03:00:00+00:00,35.07,35.18,35.07,35.18,35.13,0.20000000,3
1586748600,2020-04-13 03:30:00+00:00,35.05,35.05,34.96,35.02,35.02,111.46231319,21
1586750400,2020-04-13 04:00:00+00:00,34.96,34.99,34.96,34.99,34.98,12.44895544,3
1586752200,2020-04-13 04:30:00+00:00,35.00,35.11,35.00,35.08,35.10,27.25001867,4
1586754000,2020-04-13 05:00:00+00:00,35.07,35.20,35.00,35.10,35.09,97.34313823,19
1586755800,2020-04-13 05:30:00+00:00,35.11,35.15,35.11,35.15,35.13,59.00000000,7
1586757600,2020-04-13 06:00:00+00:00,35.15,35.18,35.15,35.18,35.18,2.82300000,2
1586759400,2020-04-13 06:30:00+00:00,35.18,35.18,35.18,35.18,0.00,0.00000000,0
1586761200,2020-04-13 07:00:00+00:00,35.18,35.18,35.18,35.18,0.00,0.00000000,0
1586763000,2020-04-13 07:30:00+00:00,35.13,35.23,35.05,35.12,35.08,30.76192000,18
1586764800,2020-04-13 08:00:00+00:00,35.12,35.23,35.12,35.23,35.21,25.60000000,2
1586766600,2020-04-13 08:30:00+00:00,35.23,35.23,35.23,35.23,0.00,0.00000000,0
1586768400,2020-04-13 09:00:00+00:00,35.23,35.23,34.82,34.82,34.87,0.21353579,2
1586770200,2020-04-13 09:30:00+00:00,34.99,34.99,34.99,34.99,34.99,0.38079700,1
1586772000,2020-04-13 10:00:00+00:00,34.99,35.43,34.99,35.25,35.39,44.62328431,6
1586773800,2020-04-13 10:30:00+00:00,35.25,35.67,35.25,35.61,35.64,14.82898805,3
1586775600,2020-04-13 11:00:00+00:00,35.59,35.61,35.16,35.26,35.34,117.48765914,24
1586777400,2020-04-13 11:30:00+00:00,35.26,35.89,35.26,35.57,35.63,215.80974272,30
1586779200,2020-04-13 12:00:00+00:00,35.51,35.51,35.18,35.28,35.36,406.98569624,47
1586781000,2020-04-13 12:30:00+00:00,35.28,35.28,35.28,35.28,0.00,0.00000000,0
1586782800,2020-04-13 13:00:00+00:00,35.16,35.23,35.04,35.23,35.18,58.70240186,39
1586784600,2020-04-13 13:30:00+00:00,35.23,35.23,34.74,34.83,34.92,129.61030114,12
1586786400,2020-04-13 14:00:00+00:00,34.98,35.28,34.97,35.15,34.99,238.24053937,28
1586788200,2020-04-13 14:30:00+00:00,34.93,35.01,34.93,35.01,34.98,1.17413823,2
1586790000,2020-04-13 15:00:00+00:00,35.01,35.15,34.97,35.15,35.04,3.82677616,11
1586791800,2020-04-13 15:30:00+00:00,35.15,35.29,35.14,35.24,35.26,21.74555791,8
1586793600,2020-04-13 16:00:00+00:00,35.24,35.25,35.22,35.22,35.22,89.34041859,13
1586795400,2020-04-13 16:30:00+00:00,35.16,35.29,35.16,35.18,35.18,21.45320000,16
1586797200,2020-04-13 17:00:00+00:00,35.18,35.18,35.18,35.18,0.00,0.00000000,0
1586799000,2020-04-13 17:30:00+00:00,35.23,35.23,35.16,35.16,35.18,15.80000000,8
1586800800,2020-04-13 18:00:00+00:00,35.16,35.23,35.14,35.21,35.20,3.78383193,3
1586802600,2020-04-13 18:30:00+00:00,35.21,35.31,35.21,35.22,35.26,0.27738442,2
1586804400,2020-04-13 19:00:00+00:00,35.58,35.58,35.58,35.58,35.58,0.43558951,1
1586806200,2020-04-13 19:30:00+00:00,35.63,35.71,35.54,35.66,35.64,3.56299760,10
1586808000,2020-04-13 20:00:00+00:00,35.66,35.99,35.66,35.99,35.99,96.72000000,3
1586809800,2020-04-13 20:30:00+00:00,35.99,35.99,35.70,35.70,35.70,25.00000000,5
