time,time_fmt,open,high,low,close,vwap,volume,count
1587597300,2020-04-22 23:15:00+00:00,182.67,182.67,182.67,182.67,0.0,0.0,0
1587597600,2020-04-22 23:20:00+00:00,182.67,182.67,182.67,182.67,0.0,0.0,0
1587597900,2020-04-22 23:25:00+00:00,182.67,182.67,182.67,182.67,0.0,0.0,0
1587598200,2020-04-22 23:30:00+00:00,182.67,182.67,182.67,182.67,0.0,0.0,0
1587599100,2020-04-22 23:45:00+00:00,182.67,182.67,182.67,182.67,0.0,0.0,0
1587599400,2020-04-22 23:50:00+00:00,182.67,182.67,182.67,182.67,0.0,0.0,0
1587599700,2020-04-22 23:55:00+00:00,182.67,182.67,182.67,182.67,0.0,0.0,0
1587600000,2020-04-23 00:00:00+00:00,183.23,183.23,183.23,183.23,183.23,0.02,1
1587602100,2020-04-23 00:35:00+00:00,183.23,183.23,183.23,183.23,0.0,0.0,0
1587602400,2020-04-23 00:40:00+00:00,183.23,183.23,183.23,183.23,0.0,0.0,0
1587603900,2020-04-23 01:05:00+00:00,183.23,183.23,183.23,183.23,0.0,0.0,0
1587604200,2020-04-23 01:10:00+00:00,182.85,182.85,182.85,182.85,182.85,0.02,1
1587605400,2020-04-23 01:30:00+00:00,182.85,182.85,182.85,182.85,0.0,0.0,0
1587605700,2020-04-23 01:35:00+00:00,184.45,184.53,184.45,184.53,184.5,51.63992607,23
1587606000,2020-04-23 01:40:00+00:00,186.28,186.31,186.28,186.31,186.28,4.91665585,3
1587606300,2020-04-23 01:45:00+00:00,186.31,186.31,186.31,186.31,0.0,0.0,0
1587608100,2020-04-23 02:15:00+00:00,186.31,186.31,186.31,186.31,0.0,0.0,0
1587608400,2020-04-23 02:20:00+00:00,185.26,185.26,185.26,185.26,185.26,0.02,1
1587611400,2020-04-23 03:10:00+00:00,185.26,185.26,185.26,185.26,0.0,0.0,0
1587611700,2020-04-23 03:15:00+00:00,185.26,185.26,185.26,185.26,0.0,0.0,0
1587612300,2020-04-23 03:25:00+00:00,185.26,185.26,185.26,185.26,0.0,0.0,0
1587612600,2020-04-23 03:30:00+00:00,184.12,184.12,184.12,184.12,184.12,0.02,1
1587614100,2020-04-23 03:55:00+00:00,184.12,184.12,184.12,184.12,0.0,0.0,0
1587614400,2020-04-23 04:00:00+00:00,184.12,184.12,184.12,184.12,0.0,0.0,0
1587615300,2020-04-23 04:15:00+00:00,184.12,184.12,184.12,184.12,0.0,0.0,0
1587615600,2020-04-23 04:20:00+00:00,181.97,181.97,181.97,181.97,181.97,1.10727038,1
1587615900,2020-04-23 04:25:00+00:00,181.97,181.97,181.97,181.97,0.0,0.0,0
1587616200,2020-04-23 04:30:00+00:00,181.97,181.97,181.97,181.97,0.0,0.0,0
1587616800,2020-04-23 04:40:00+00:00,181.97,181.97,181.97,181.97,0.0,0.0,0
1587617100,2020-04-23 04:45:00+00:00,182.79,182.79,182.79,182.79,182.79,0.02,1
1587618000,2020-04-23 05:00:00+00:00,182.79,182.79,182.79,182.79,0.0,0.0,0
1587618300,2020-04-23 05:05:00+00:00,183.38,183.38,183.38,183.38,183.38,2.22677399,1
1587618600,2020-04-23 05:10:00+00:00,183.38,183.38,183.38,183.38,0.0,0.0,0
1587618900,2020-04-23 05:15:00+00:00,183.38,183.38,183.38,183.38,0.0,0.0,0
1587619800,2020-04-23 05:30:00+00:00,183.38,183.38,183.38,183.38,0.0,0.0,0
1587620100,2020-04-23 05:35:00+00:00,183.38,183.38,183.38,183.38,0.0,0.0,0
1587621000,2020-04-23 05:50:00+00:00,183.38,183.38,183.38,183.38,0.0,0.0,0
1587621300,2020-04-23 05:55:00+00:00,182.39,182.39,182.39,182.39,182.39,0.02,1
1587621600,2020-04-23 06:00:00+00:00,181.0,181.0,180.58,180.58,180.68,3.95196558,2
1587623100,2020-04-23 06:25:00+00:00,180.58,180.58,180.58,180.58,0.0,0.0,0
1587623400,2020-04-23 06:30:00+00:00,180.58,180.58,180.58,180.58,0.0,0.0,0
1587624900,2020-04-23 06:55:00+00:00,180.58,180.58,180.58,180.58,0.0,0.0,0
1587625200,2020-04-23 07:00:00+00:00,180.58,180.58,180.58,180.58,0.0,0.0,0
1587625500,2020-04-23 07:05:00+00:00,180.58,180.58,180.12,180.12,180.12,0.02,1
1587625800,2020-04-23 07:10:00+00:00,180.12,180.12,180.12,180.12,0.0,0.0,0
1587626100,2020-04-23 07:15:00+00:00,180.12,180.12,180.12,180.12,0.0,0.0,0
1587626400,2020-04-23 07:20:00+00:00,180.12,180.12,180.12,180.12,0.0,0.0,0
1587626700,2020-04-23 07:25:00+00:00,180.12,180.12,180.12,180.12,0.0,0.0,0
1587629400,2020-04-23 08:10:00+00:00,180.12,180.12,180.12,180.12,0.0,0.0,0
1587629700,2020-04-23 08:15:00+00:00,181.1,181.1,181.1,181.1,181.1,0.02,1
1587630300,2020-04-23 08:25:00+00:00,181.1,181.1,181.1,181.1,0.0,0.0,0
1587630600,2020-04-23 08:30:00+00:00,181.1,181.1,181.1,181.1,0.0,0.0,0
1587631800,2020-04-23 08:50:00+00:00,181.1,181.1,181.1,181.1,0.0,0.0,0
1587632100,2020-04-23 08:55:00+00:00,181.1,181.1,181.1,181.1,0.0,0.0,0
1587633600,2020-04-23 09:20:00+00:00,181.1,181.1,181.1,181.1,0.0,0.0,0
1587633900,2020-04-23 09:25:00+00:00,181.35,181.35,181.35,181.35,181.35,0.02,1
1587635100,2020-04-23 09:45:00+00:00,181.35,181.35,181.35,181.35,0.0,0.0,0
1587635400,2020-04-23 09:50:00+00:00,181.35,181.35,181.35,181.35,0.0,0.0,0
1587636900,2020-04-23 10:15:00+00:00,181.35,181.35,181.35,181.35,0.0,0.0,0
1587637200,2020-04-23 10:20:00+00:00,181.35,181.35,181.35,181.35,0.0,0.0,0
